Jamie Young,Martinez Wells,14,2,2005-09-17
Courtney Hayes,Marcus Isle,54,95,1925-04-26
Alyssa Atkins,Morrison Fall,39,16,2006-10-16
Connie Thompson,Johnson Spur,37,77,1945-10-02
Adrienne Thomas,Baker Circles,25,110,2015-01-27
Matthew Mendoza,Bryan Pines,51,85,1979-11-22
Joshua West,Sanchez Mountains,36,114,1939-10-13
Joseph Simpson,Lynn Flat,44,28,1983-11-14
Melissa Mcknight,Hodges Isle,11,14,1994-05-15
Kristin Gordon,Moran Place,42,10,1934-12-03
Shannon Schmidt,Emily Branch,17,81,1934-05-20
Anthony Drake,Debra Vista,36,94,1968-03-28
Jenny Washington,Williams Circles,57,7,1955-06-17
Brenda Grant,Ellis Cove,13,147,1918-09-15
Patricia Hill,Osborne Roads,6,56,1935-02-28
Jerry Bautista,Rodriguez Common,21,32,2001-12-09
Cristian Daniels,Martin Viaduct,10,48,1953-07-04
Jose Mason,Brittany Valley,51,142,1964-05-24
Keith Perez,Jefferson Groves,13,47,2023-12-28
Caitlin Cross,Wilson Estates,18,4,1994-08-06
Amber Robertson,Collins Junction,16,65,1997-10-08
Kristin Cooper,Emily Plains,3,134,1925-01-08
Steven Davidson,Nicholas Land,43,70,1953-12-13
Jessica Escobar,Michael Union,58,135,2006-09-04
Andrew Dominguez,Caroline Lock,59,71,1987-08-19
Kyle Sandoval,Murphy Island,25,109,1993-03-08
Stephen Ellis,Barbara River,52,3,1958-02-23
Heidi Adams,Kevin Lakes,42,72,1950-12-09
Emma Griffin,Bowman Via,36,136,2018-09-20
Keith Frank,Gonzalez Ports,59,83,1974-09-27
David Hall,Robert Walks,60,27,2021-01-08
Christy Moore,Christopher Radial,12,87,1981-05-15
Stephanie Davis,Judith Glens,54,3,1948-04-04
Felicia Booth,Madison Cape,24,74,1945-04-15
Samantha Elliott,Martinez Hills,35,107,1915-12-31
Beverly Sheppard,John Meadow,29,96,1923-03-24
Jessica Cross,Kyle Alley,28,137,1990-07-21
Dr. Courtney Maxwell,Keith Plaza,54,2,1963-11-30
Kendra Smith,Davis Land,5,33,2002-08-30
Melissa Sanchez,Jimenez Rapids,31,69,1941-03-14
Michael Parks,Jones Hills,19,33,1932-12-05
Rebecca Garcia,Watkins Circles,26,145,1941-10-04
Cynthia Clark,Robert Garden,60,74,1961-07-22
Steven Dennis,Edward Squares,32,105,1979-02-03
Adam Shelton,Lin Greens,26,11,1978-02-17
Katrina Gross,French Street,10,49,2020-06-14
Andrew Hernandez,Kelly Rue,2,92,2012-05-13
Donna Schmidt,Wilson Squares,41,132,1972-07-22
Karl Davis,Laura Wells,35,91,1933-04-08
Samantha Ward,Mario Mews,36,90,2016-12-14
Brian Richards,Teresa Trail,59,45,2009-08-17
Richard Velasquez,Robinson Road,33,131,1978-12-14
Jeremy Grimes,Woods Rest,41,109,1927-08-12
Jasmine Noble,Laura Turnpike,27,121,1947-07-03
Karen Lloyd,Antonio Street,41,24,1973-07-09
Wayne Allen,Richard Greens,7,40,2004-04-26
Robert Sullivan,Melissa Divide,53,141,1993-02-26
Eric Shaw II,Clay Creek,4,134,1915-12-05
Virginia Gould,Bowman Rest,40,78,1918-04-27
Bryce Caldwell,Parker Roads,42,118,1935-06-15
Dana Baker,Nguyen Cliff,30,37,1951-11-25
Samantha Ramos,Mendez Prairie,46,41,1946-09-08
Stephanie Brown,Ward Junction,1,34,2020-08-31
Troy Thomas,Amy Square,2,124,2011-07-26
Sherry Cruz,Hall Knoll,57,66,1940-03-24
Ray Rhodes,Wong Station,35,116,1941-04-08
Natalie Archer,Jackson Circles,47,143,1941-10-15
Antonio Ibarra,Lindsey Terrace,20,31,1958-10-01
Dr. Angel Williams,Leah Ranch,33,55,2010-12-06
Rebecca Stevens,Jeffrey Alley,11,62,1981-03-25
William Knight,Contreras Turnpike,2,114,1923-12-19
Shirley Taylor,Jenkins Island,5,103,2006-12-22
Timothy Martin,Duane Views,4,150,1958-04-14
Elizabeth Montoya,Brittany Square,50,41,1976-02-05
Elaine Shields,Smith Square,22,103,1910-10-26
Bradley Brown,Mary Avenue,14,105,1955-09-29
Jessica Kemp,Edwards Ranch,40,1,1921-04-26
Mrs. Diana Zuniga,Jordan Vista,17,146,1964-03-26
Jasmine Austin,Stephen Mountain,11,58,1941-06-27
Martin Fuller,Pierce View,49,128,2017-06-28
James Rhodes,Ronald Point,35,39,1950-06-12
Andrea Hamilton,Ryan Radial,5,112,2017-04-23
Audrey Keith,Clinton Via,20,77,1962-08-14
Charles Mckay,Karen Drive,57,129,1978-12-07
Kyle Elliott,Becker Greens,18,86,1963-11-25
Lori Liu,Jackson Meadow,30,103,1910-04-19
Lori Hendricks,Webb Common,35,141,1962-10-21
Maria Hernandez,Jose Summit,31,43,1973-05-20
Jeanette Myers,Nelson Burgs,16,58,1952-11-08
Heidi Warren,Shelby Mountains,55,121,1952-09-17
Donald Le,Lee Glens,38,133,1917-05-15
Jennifer Barnett,Gonzalez Garden,12,68,1916-11-03
Steven Edwards,Susan Mill,51,54,2023-08-21
Taylor Rodriguez,Bass Divide,40,144,1913-09-23
Anthony Vaughn,Patrick Harbors,57,132,2010-06-18
Brandon Greene,Taylor Station,44,137,2002-11-27
Denise Rich,Stephens Alley,19,27,2013-08-15
Adam Avila,Kenneth Isle,23,91,1991-12-09
Mark Holmes,Eileen Vista,32,114,1913-09-20
Laura Rogers,Hale Cliff,9,85,1958-08-12
Steven Chapman,Sharp Crossing,48,103,1963-12-07
Jonathan Martin,Mclaughlin Trace,14,23,1937-09-30
Karen Bass,Lopez Cove,23,2,1924-09-15
Loretta Schultz MD,Katherine Mews,8,82,1965-03-15
James Young,Goodwin Island,51,76,1957-11-30
Renee Brady,Tara Course,8,41,1946-11-15
Jeffery Obrien,Miller Mountains,12,105,1954-08-19
Suzanne Daniels,Morrison Walks,2,26,1920-11-16
James Dixon,Frances Gardens,34,18,1989-10-22
Shelley Robinson,Ramirez Causeway,46,68,2009-10-07
Adrian Bender,Philip Lock,5,62,1998-01-12
Kara Ingram,Johnson Street,18,144,1935-08-28
Shaun Castaneda,Sandoval Branch,11,66,2012-02-03
Joseph Thompson,David Square,19,74,1967-01-13
Lance Clayton,Nancy Lock,39,27,2023-06-10
Brendan Lee,Corey Burg,31,142,1914-11-06
Claudia Ball,Jennifer Pass,3,123,1953-08-25
Brandon Smith,Robertson Ports,11,63,1979-05-14
Jill Rosales,Holland Ports,47,122,1973-09-02
Julie Wilson,Miles Gateway,30,56,1978-06-23
Anthony Gilmore,Carpenter Square,7,96,1970-11-05
Erin White,Brennan Lock,13,61,1948-09-01
Jose Hoffman,Armstrong Forest,37,132,1976-08-29
Joseph Elliott,Sean Track,5,70,1966-06-23
Christopher Andrade,Cruz Turnpike,1,60,1919-08-26
Michelle Gallegos,Martin Wall,19,139,1934-10-17
Angela Bailey,Carol Cliff,42,92,1978-10-17
Ronald Williams,Ramirez Crescent,1,131,1990-12-17
Edward Livingston,Robert Shoals,54,56,1970-08-18
Thomas Wright,Decker Wells,47,21,1941-12-26
Tammy Adams,Martin Hill,16,16,1940-09-04
Susan Burke,Jill Walks,58,35,1953-09-02
Taylor Cook,George Branch,52,73,1957-12-18
Jesus Booker,Harris Road,15,2,1916-05-04
Traci Taylor,Kevin Mountain,58,129,2000-01-10
Earl Sanchez,Troy Ranch,43,126,1914-10-30
Brittney Moore,Marshall Land,26,90,1950-03-14
Joyce Horton,Strong Highway,35,140,2009-03-25
Regina Rush,Pearson Well,34,104,1934-05-30
Richard Holland,Sharon Islands,44,85,1962-11-12
Juan Campbell,Justin Mission,22,68,1945-11-06
Andrew Reyes,Ernest Pike,40,90,1925-04-11
Christina Baker,Jacobs Neck,36,147,1993-02-07
Eric Jones,Joyce Court,55,44,1921-10-31
Michelle Ritter DDS,Lopez Mission,42,137,1919-09-19
Rachel Craig,Sherri Ways,44,34,2023-01-24
Emily Hampton,Watts Gateway,25,99,1989-12-26
Johnny Hart,Ryan Common,42,62,1927-12-05
Gina Miller,Miranda Trace,2,125,1909-01-11
Nicole Cook,Susan Port,7,131,1924-12-24
Ryan Reyes,Katherine Hollow,30,110,1932-01-06
